Origin,Destination,Distance,Mode,Cost
Agra,Delhi,240,Car,500
Agra,Lucknow,334,Train,300
Agra,Kanpur,277,Flight,1000
Ahmedabad,Mumbai,526,Car,1200
Ahmedabad,Pune,663,Train,800
Ahmedabad,Jaipur,660,Flight,1500
Ahmedabad,Udaipur,258,Car,600
Bengaluru,Pune,839,Car,1500
Bengaluru,Hyderabad,576,Train,700
Bengaluru,Chennai,346,Flight,1200
Bengaluru,Goa,562,Car,1000
Bhubaneswar,Kolkata,442,Car,800
Bhubaneswar,Vishakhapatnam,444,Train,400
Bhubaneswar,Patna,831,Flight,1200
Chennai,Hyderabad,626,Car,1000
Chennai,Bengaluru,345,Train,400
Chennai,Kochi,690,Flight,1200
Chennai,Mumbai,1335,Car,2000
Chennai,Kolkata,1666,Train,1200
Delhi,Jaipur,307,Car,700
Delhi,Agra,243,Train,300
Delhi,Lucknow,548,Flight,1200
Delhi,Chennai,2208,Car,3000
Delhi,Bengaluru,2174,Train,2000
Delhi,Mumbai,1452,Flight,2500
Delhi,Hyderabad,1582,Car,2500
Goa,Hyderabad,674,Car,1200
Goa,Kochi,755,Train,500
Goa,Mumbai,585,Flight,1000
Goa,Pune,442,Car,800
Goa,Thiruvananthapuram,1305,Train,1000
Hyderabad,Pune,562,Car,1000
Hyderabad,Bengaluru,576,Train,700
Hyderabad,Chennai,627,Flight,1200
Hyderabad,Goa,674,Car,1200
Hyderabad,Mumbai,708,Train,800
Hyderabad,Delhi,1583,Flight,2500
Hyderabad,Kolkata,1489,Car,3000
Jaipur,Ahmedabad,659,Car,1500
Jaipur,Udaipur,397,Train,500
Jaipur,Delhi,308,Flight,800
Jaipur,Mumbai,1170,Car,2000
Jaipur,Pune,1191,Train,1000
Kanpur,Agra,301,Car,500
Kanpur,Lucknow,115,Train,200
Kanpur,Varanasi,328,Flight,800
Kochi,Chennai,690,Car,1200
Kochi,Bengaluru,547,Train,600
Kochi,Goa,754,Flight,1000
Kochi,Thiruvananthapuram,206,Car,300
Kolkata,Varanasi,680,Car,1200
Kolkata,Patna,554,Train,700
Kolkata,Bhubaneswar,442,Flight,800
Kolkata,Chennai,1668,Car,3000
Kolkata,Delhi,1563,Train,1200
Lucknow,Delhi,553,Car,800
Lucknow,Agra,333,Train,300
Lucknow,Kanpur,89,Flight,500
Mumbai,Pune,150,Car,500
Mumbai,Ahmedabad,526,Train,1000
Mumbai,Delhi,1453,Flight,2500
Mumbai,Hyderabad,713,Car,1200
Mumbai,Bengaluru,984,Train,1500
Mumbai,Kolkata,1886,Flight,3000
Mumbai,Chennai,1338,Car,2000
Patna,Varanasi,256,Car,800
Patna,Kolkata,578,Train,800
Pune,Mumbai,150,Flight,500
Pune,Ahmedabad,660,Car,1500
Pune,Hyderabad,560,Train,800
Pune,Bengaluru,842,Flight,1200
Udaipur,Ahmedabad,257,Car,800
Udaipur,Jaipur,397,Train,500
Udaipur,Mumbai,767,Flight,1500
Udaipur,Delhi,688,Car,1200
Varanasi,Kanpur,328,Train,200
Varanasi,Patna,259,Flight,800
Varanasi,Kolkata,683,Car,1200
Varanasi,Lucknow,312,Train,200
Vishakhapatnam,Bhubaneswar,441,Car,800
Vishakhapatnam,Hyderabad,618,Train,700
Vishakhapatnam,Kolkata,882,Flight,1500
